Album,Artist,Week,Rank
Camelot,Original Cast Recording,42,170
Cowboys & Colored People,FLiP,42,171
Children Of The Future,The Steve Miller Band,42,172
The Best Of Wilson Pickett,Wilson Pickett,42,173
Ascending,Orpheus,42,174
The Clown Died In Marvin Gardens,B,42,175
Insight Out,The Association,42,176
"Woman, Woman",Robert Goulet,42,177
It Must Be Him,Ray Conniff,42,178
Electric Ladyland,The Jimi Hendrix Experience,42,179
Soul Bag,Mongo Santamaria,42,180
The Best Of The Impressions,The Impressions,42,181
"The Lettermen!!!...And ""Live!""",The Lettermen,42,182
"Woman, Woman",Gary Puckett And The Union Gap,42,183
Do You Know The Way To San Jose?,Baja Marimba Band,42,184
Birthday,The Association,42,185
Laugh-In,Soundtrack,42,186
"It Crawled Into My Hand, Honest",Fugs,42,187
Aladdin,Rotary Connection,42,188
Fats Is Back,Fats Domino,42,189
Dream A Little Dream,Mama Cass,42,190
The Twain Shall Meet,The Animals,42,191
Lucille,B.B. King,42,192
What Now My Love,Herb Alpert & The Tijuana Brass,42,193
A New Time-A New Day,The Chambers Brothers,42,194
"The Best Of Wes Montgomery, Vol. 2",Wes Montgomery,42,195
Rotary Connection,Rotary Connection,42,196
Bill Medley 100%,Bill Medley,42,197
Herb Alpert's Ninth,Herb Alpert & The Tijuana Brass,42,198
"1,2,3 Red Light",1910 Fruitgum Co.,42,199
Angel Of The Morning,Merrilee Rush & The Turnabouts,42,200
Cheap Thrills,Big Brother And The Holding Company,43,1
Time Peace/The Rascals' Greatest Hits,The Rascals,43,2
Feliciano!,Jose Feliciano,43,3
The Time Has Come,The Chambers Brothers,43,4
In-A-Gadda-Da-Vida,Iron Butterfly,43,5
Gentle On My Mind,Glen Campbell,43,6
Crown Of Creation,Jefferson Airplane,43,7
Wheels Of Fire,Cream,43,8
The Crazy World Of Arthur Brown,Arthur,43,9
Are You Experienced?,Jimi Hendrix,43,10
Waiting For The Sun,The Doors,43,11
Wild In The Streets,Soundtrack,43,12
The Graduate,Soundtrack,43,13
Disraeli Gears,Cream,43,14
Steppenwolf,Steppenwolf,43,15
Boogie With Canned Heat,Canned Heat,43,16
Idea,Bee Gees,43,17
Super Session,Mike Bloomfield,43,18
Truth,Jeff Beck,43,19
A Man Without Love,Engelbert Humperdinck,43,20
Stoned Soul Picnic,The 5th Dimension,43,21
Donovan In Concert,Donovan,43,22
The Second,Steppenwolf,43,23
Realization,Johnny Rivers,43,24
Late Again,"Peter, Paul & Mary",43,25
Bookends,Simon & Garfunkel,43,26
2001: A Space Odyssey,Soundtrack,43,27
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,43,28
In Search Of The Lost Chord,The Moody Blues,43,29
Shades Of Deep Purple,Deep Purple,43,30
Aretha Now,Aretha Franklin,43,31
Music From Big Pink,The Band,43,32
Look Around,Sergio Mendes,43,33
By The Time I Get To Phoenix,Glen Campbell,43,34
Beat Of The Brass,Herb Alpert & The Tijuana Brass,43,35
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,43,36
Honey,Andy Williams,43,37
Vanilla Fudge,Vanilla Fudge,43,38
"Hey, Little One",Glen Campbell,43,39
The Doors,The Doors,43,40
Johnny Cash At Folsom Prison,Johnny Cash,43,41
Last Time Around,The Buffalo Springfield,43,42
Sounds Of Silence,Simon & Garfunkel,43,43
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,43,44
Aretha: Lady Soul,Aretha Franklin,43,45
Funny Girl,Barbra Streisand,43,46
A New Place In The Sun,Glen Campbell,43,47
Harper Valley P.T.A.,Jeannie C. Riley,43,48
Hair,Original Cast Recording,43,49
Farewell To The First Golden Era,The Mamas & The Papas,43,50
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,43,51
Renaissance,Vanilla Fudge,43,52
Petula,Petula Clark,43,53
Hickory Holler Revisited,O.C. Smith,43,54
Maiden Voyage,Ramsey Lewis,43,55
The Temptations Greatest Hits,The Temptations,43,56
Axis: Bold As Love,The Jimi Hendrix Experience,43,57
Creedence Clearwater Revival: Collector's Edition,Creedence Clearwater Revival,43,58
"Live At The Apollo, Volume II",James Brown,43,59
Wildflowers,Judy Collins,43,60
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),43,61
A Happening In Central Park,Barbra Streisand,43,62
Bare Wires,John Mayall,43,63
Frank Sinatra's Greatest Hits!,Frank Sinatra,43,64
The Electrifying Eddie Harris,Eddie Harris,43,65
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,43,66
"Golden Era, Vol. 2",The Mamas & The Papas,43,67
Fresh Cream,Cream,43,68
Bobbie Gentry & Glen Campbell,Bobbie Gentry & Glen Campbell,43,69
Honey,Ray Conniff,43,70
Live At London's Talk Of The Town,The Supremes,43,71
The Papas & The Mamas,The Mamas & The Papas,43,72
The Sound Of Music,Soundtrack,43,73
Young Girl,Gary Puckett And The Union Gap,43,74
"Turn Around, Look At Me",The Vogues,43,75
The Mason Williams Phonograph Record,Mason Williams,43,76
Honey,Bobby Goldsboro,43,77
The Sound Of Boots,Boots Randolph,43,78
Camelot,Soundtrack,43,79
Quicksilver Messenger Service,Quicksilver Messenger Service,43,80
The Immortal Otis Redding,Otis Redding,43,81
Special Request,The Lettermen,43,82
"The Super Hits, Vol. 2",Various Artists,43,83
Baptism,Joan Baez,43,84
Wish It Would Rain,The Temptations,43,85
A Tramp Shining,Richard Harris,43,86
Anthem Of The Sun,Grateful Dead,43,87
"The Birds, The Bees & The Monkees",The Monkees,43,88
Strange Days,The Doors,43,89
Special Occasion,Smokey Robinson & The Miracles,43,90
Doctor Zhivago,Soundtrack,43,91
Outsideinside,Blue Cheer,43,92
The Dock Of The Bay,Otis Redding,43,93
"To Russell, My Brother, Whom I Slept With",Bill Cosby,43,94
Hello Dummy!,Don Rickles,43,95
Dean Martin's Greatest Hits! Vol. 2,Dean Martin,43,96
The Sea,San Sebastian,43,97
Electric Ladyland,The Jimi Hendrix Experience,43,98
Angel Of The Morning (Hit Themes For Young Lovers),Percy Faith,43,99
Magical Mystery Tour (Soundtrack),The Beatles,43,100
"The Good, The Bad And The Ugly",Soundtrack,43,101
Spirit,Spirit,43,102
Sergio Mendes & Brasil '66,Sergio Mendes,43,103
Alice's Restaurant,Soundtrack,43,104
Man Of La Mancha,Original Cast,43,105
The Hurdy Gurdy Man,Donovan,43,106
Shine On Brightly,Procol Harum,43,107
Blooming Hits,Paul Mauriat And His Orchestra,43,108
Dream A Little Dream,Mama Cass,43,109
"Greatest Hits, Vol. 2",The Miracles,43,110
Sweetheart Of The Rodeo,The Byrds,43,111
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",43,112
You're All I Need,Tammi Terrell,43,113
A Day In The Life,Wes Montgomery,43,114
The Unicorn,The Irish Rovers,43,115
Valley Of The Dolls,Dionne Warwick,43,116
Love Is Blue,Johnny Mathis,43,117
The Four Tops Greatest Hits,Four Tops,43,118
The Promise Of A Future,Hugh Masekela,43,119
"Up, Up And Away",The 5th Dimension,43,120
Journey To The Center Of The Mind,The Amboy Dukes,43,121
Goin' Out Of My Head,The Lettermen,43,122
Undead,Ten Years After,43,123
Who Will Answer? And Other Songs Of Our Time,Ed Ames,43,124
Heavy,Iron Butterfly,43,125
Something Happening,Paul Revere & The Raiders,43,126
Captain Sad And His Ship Of Fools,The Cowsills,43,127
Yesterday's Dreams,Four Tops,43,128
Nazz,Nazz,43,129
History Of Otis Redding,Otis Redding,43,130
A Long Time Comin',Electric Flag,43,131
The Tom Jones Fever Zone,Tom Jones,43,132
Wow,Moby Grape,43,133
In My Own Dream,The Paul Butterfield Blues Band,43,134
Big Brother & The Holding Company,Big Brother And The Holding Company,43,135
There Is,The Dells,43,136
Interlude,Soundtrack,43,137
Word Pictures Featuring Autumn Of My Life,Bobby Goldsboro,43,138
Release Me,Engelbert Humperdinck,43,139
Pat Paulsen For President,Pat Paulsen,43,140
Reflections,The Supremes,43,141
Born Free,Andy Williams,43,142
Soul Limbo,Booker T. & The MG's,43,143
Prevailing Airs,Paul Mauriat,43,144
Bob Dylan's Greatest Hits,Bob Dylan,43,145
Love Makes A Woman,Barbara Acklin,43,146
Finian's Rainbow,Soundtrack,43,147
Reach Out,Burt Bacharach,43,148
The Best Of Lou Rawls,Lou Rawls,43,149
Easy,Nancy Wilson,43,150
John Wesley Harding,Bob Dylan,43,151
Greatest Hits,Stevie Wonder,43,152
Kiss Me Goodbye,Jim Nabors,43,153
This Guy's In Love With You,Jerry Vale,43,154
Down Here On The Ground,Wes Montgomery,43,155
The Romantic World Of Eddy Arnold,Eddy Arnold,43,156
Funny Girl,The Supremes,43,157
Plug Me In,Eddie Harris,43,158
The Best Of Nancy Wilson,Nancy Wilson,43,159
200 M.P.H.,Bill Cosby,43,160
Nancy & Lee,Nancy Sinatra,43,161
The Best Of Al Martino,Al Martino,43,162
Arlo,Arlo Guthrie,43,163
The Sound Of Nancy Wilson,Nancy Wilson,43,164
God Bless Tiny Tim,Tiny Tim,43,165
Ogdens' Nut Gone Flake,Small Faces,43,166
Ascending,Orpheus,43,167
Cowboys & Colored People,FLiP,43,168
Children Of The Future,The Steve Miller Band,43,169
Laugh-In,Soundtrack,43,170
The Best Of Wilson Pickett,Wilson Pickett,43,171
The Last Waltz,Engelbert Humperdinck,43,172
The Clown Died In Marvin Gardens,B,43,173
Magic Bus-The Who On Tour,The Who,43,174
Star!,Soundtrack,43,175
Up Up And Away,Boston Pops Orchestra,43,176
"Woman, Woman",Robert Goulet,43,177
Turn Around Look At Me,Ray Conniff,43,178
Livin' It Up!,Jimmy Smith,43,179
The Best Of The Impressions,The Impressions,43,180
It Must Be Him,Ray Conniff,43,181
Soul Bag,Mongo Santamaria,43,182
"Woman, Woman",Gary Puckett And The Union Gap,43,183
Midnight Creeper,Lou Donaldson,43,184
Insight Out,The Association,43,185
"It Crawled Into My Hand, Honest",Fugs,43,186
Birthday,The Association,43,187
Aladdin,Rotary Connection,43,188
Fats Is Back,Fats Domino,43,189
Apologize,Ed Ames,43,190
Together,Country Joe & The Fish,43,191
Lucille,B.B. King,43,192
A New Time-A New Day,The Chambers Brothers,43,193
"The Best Of Wes Montgomery, Vol. 2",Wes Montgomery,43,194
"1,2,3 Red Light",1910 Fruitgum Co.,43,195
What Now My Love,Herb Alpert & The Tijuana Brass,43,196
Rotary Connection,Rotary Connection,43,197
You're Good For Me,Lou Rawls,43,198
Another Place Another Time,Jerry Lee Lewis,43,199
Angel Of The Morning,Merrilee Rush & The Turnabouts,43,200
Cheap Thrills,Big Brother And The Holding Company,44,1
Feliciano!,Jose Feliciano,44,2
Time Peace/The Rascals' Greatest Hits,The Rascals,44,3
The Time Has Come,The Chambers Brothers,44,4
In-A-Gadda-Da-Vida,Iron Butterfly,44,5
Crown Of Creation,Jefferson Airplane,44,6
Wheels Of Fire,Cream,44,7
The Crazy World Of Arthur Brown,Arthur,44,8
Gentle On My Mind,Glen Campbell,44,9
Are You Experienced?,Jimi Hendrix,44,10
Waiting For The Sun,The Doors,44,11
Wild In The Streets,Soundtrack,44,12
A Man Without Love,Engelbert Humperdinck,44,13
The Graduate,Soundtrack,44,14
The Second,Steppenwolf,44,15
Boogie With Canned Heat,Canned Heat,44,16
Idea,Bee Gees,44,17
Super Session,Mike Bloomfield,44,18
Truth,Jeff Beck,44,19
Electric Ladyland,The Jimi Hendrix Experience,44,20
Disraeli Gears,Cream,44,21
Donovan In Concert,Donovan,44,22
Late Again,"Peter, Paul & Mary",44,23
Realization,Johnny Rivers,44,24
2001: A Space Odyssey,Soundtrack,44,25
In Search Of The Lost Chord,The Moody Blues,44,26
Shades Of Deep Purple,Deep Purple,44,27
Bookends,Simon & Garfunkel,44,28
Stoned Soul Picnic,The 5th Dimension,44,29
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,44,30
Harper Valley P.T.A.,Jeannie C. Riley,44,31
Music From Big Pink,The Band,44,32
Steppenwolf,Steppenwolf,44,33
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,44,34
Look Around,Sergio Mendes,44,35
Aretha Now,Aretha Franklin,44,36
Vanilla Fudge,Vanilla Fudge,44,37
"Hey, Little One",Glen Campbell,44,38
Honey,Andy Williams,44,39
Johnny Cash At Folsom Prison,Johnny Cash,44,40
Funny Girl,Barbra Streisand,44,41
Beat Of The Brass,Herb Alpert & The Tijuana Brass,44,42
By The Time I Get To Phoenix,Glen Campbell,44,43
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,44,44
The Doors,The Doors,44,45
Sounds Of Silence,Simon & Garfunkel,44,46
Last Time Around,The Buffalo Springfield,44,47
Hair,Original Cast Recording,44,48
Aretha: Lady Soul,Aretha Franklin,44,49
A New Place In The Sun,Glen Campbell,44,50
A Happening In Central Park,Barbra Streisand,44,51
Bobbie Gentry & Glen Campbell,Bobbie Gentry & Glen Campbell,44,52
Hickory Holler Revisited,O.C. Smith,44,53
Petula,Petula Clark,44,54
Maiden Voyage,Ramsey Lewis,44,55
"Golden Era, Vol. 2",The Mamas & The Papas,44,56
Creedence Clearwater Revival: Collector's Edition,Creedence Clearwater Revival,44,57
"Live At The Apollo, Volume II",James Brown,44,58
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,44,59
Wildflowers,Judy Collins,44,60
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),44,61
Bare Wires,John Mayall,44,62
Farewell To The First Golden Era,The Mamas & The Papas,44,63
Frank Sinatra's Greatest Hits!,Frank Sinatra,44,64
The Hurdy Gurdy Man,Donovan,44,65
The Temptations Greatest Hits,The Temptations,44,66
Live At London's Talk Of The Town,The Supremes,44,67
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,44,68
"Turn Around, Look At Me",The Vogues,44,69
Shine On Brightly,Procol Harum,44,70
Honey,Ray Conniff,44,71
Renaissance,Vanilla Fudge,44,72
Axis: Bold As Love,The Jimi Hendrix Experience,44,73
Young Girl,Gary Puckett And The Union Gap,44,74
Fresh Cream,Cream,44,75
The Electrifying Eddie Harris,Eddie Harris,44,76
Honey,Bobby Goldsboro,44,77
The Sound Of Boots,Boots Randolph,44,78
Special Occasion,Smokey Robinson & The Miracles,44,79
"The Super Hits, Vol. 2",Various Artists,44,80
The Sound Of Music,Soundtrack,44,81
Special Request,The Lettermen,44,82
Camelot,Soundtrack,44,83
The Papas & The Mamas,The Mamas & The Papas,44,84
The Immortal Otis Redding,Otis Redding,44,85
Quicksilver Messenger Service,Quicksilver Messenger Service,44,86
The Mason Williams Phonograph Record,Mason Williams,44,87
A Tramp Shining,Richard Harris,44,88
Doctor Zhivago,Soundtrack,44,89
Outsideinside,Blue Cheer,44,90
200 M.P.H.,Bill Cosby,44,91
Wish It Would Rain,The Temptations,44,92
Baptism,Joan Baez,44,93
Strange Days,The Doors,44,94
Dream A Little Dream,Mama Cass,44,95
Angel Of The Morning (Hit Themes For Young Lovers),Percy Faith,44,96
You're All I Need,Tammi Terrell,44,97
The Sea,San Sebastian,44,98
The Dock Of The Bay,Otis Redding,44,99
Magical Mystery Tour (Soundtrack),The Beatles,44,100
"The Birds, The Bees & The Monkees",The Monkees,44,101
Hello Dummy!,Don Rickles,44,102
"To Russell, My Brother, Whom I Slept With",Bill Cosby,44,103
Dean Martin's Greatest Hits! Vol. 2,Dean Martin,44,104
"The Good, The Bad And The Ugly",Soundtrack,44,105
Sergio Mendes & Brasil '66,Sergio Mendes,44,106
Anthem Of The Sun,Grateful Dead,44,107
Man Of La Mancha,Original Cast,44,108
Alice's Restaurant,Soundtrack,44,109
Blooming Hits,Paul Mauriat And His Orchestra,44,110
Sweetheart Of The Rodeo,The Byrds,44,111
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",44,112
Spirit,Spirit,44,113
"Greatest Hits, Vol. 2",The Miracles,44,114
Pat Paulsen For President,Pat Paulsen,44,115
A Day In The Life,Wes Montgomery,44,116
The Four Tops Greatest Hits,Four Tops,44,117
The Unicorn,The Irish Rovers,44,118
Heavy,Iron Butterfly,44,119
Love Is Blue,Johnny Mathis,44,120
Valley Of The Dolls,Dionne Warwick,44,121
Magic Bus-The Who On Tour,The Who,44,122
The Promise Of A Future,Hugh Masekela,44,123
"Up, Up And Away",The 5th Dimension,44,124
Yesterday's Dreams,Four Tops,44,125
Something Happening,Paul Revere & The Raiders,44,126
The Tom Jones Fever Zone,Tom Jones,44,127
Soul Limbo,Booker T. & The MG's,44,128
Nazz,Nazz,44,129
Goin' Out Of My Head,The Lettermen,44,130
Captain Sad And His Ship Of Fools,The Cowsills,44,131
History Of Otis Redding,Otis Redding,44,132
There Is,The Dells,44,133
Who Will Answer? And Other Songs Of Our Time,Ed Ames,44,134
In My Own Dream,The Paul Butterfield Blues Band,44,135
Finian's Rainbow,Soundtrack,44,136
Word Pictures Featuring Autumn Of My Life,Bobby Goldsboro,44,137
Release Me,Engelbert Humperdinck,44,138
This Guy's In Love With You,Jerry Vale,44,139
Interlude,Soundtrack,44,140
A Long Time Comin',Electric Flag,44,141
Wow,Moby Grape,44,142
Prevailing Airs,Paul Mauriat,44,143
The Sound Of Nancy Wilson,Nancy Wilson,44,144
Arlo,Arlo Guthrie,44,145
Big Brother & The Holding Company,Big Brother And The Holding Company,44,146
The Best Of Lou Rawls,Lou Rawls,44,147
Reach Out,Burt Bacharach,44,148
Easy,Nancy Wilson,44,149
Funny Girl,The Supremes,44,150
Undead,Ten Years After,44,151
Down Here On The Ground,Wes Montgomery,44,152
Reflections,The Supremes,44,153
Kiss Me Goodbye,Jim Nabors,44,154
Plug Me In,Eddie Harris,44,155
Star!,Soundtrack,44,156
Greatest Hits,Stevie Wonder,44,157
John Wesley Harding,Bob Dylan,44,158
Nancy & Lee,Nancy Sinatra,44,159
Bob Dylan's Greatest Hits,Bob Dylan,44,160
Turn Around Look At Me,Ray Conniff,44,161
God Bless Tiny Tim,Tiny Tim,44,162
The Best Of Nancy Wilson,Nancy Wilson,44,163
Journey To The Center Of The Mind,The Amboy Dukes,44,164
Ascending,Orpheus,44,165
Love Makes A Woman,Barbara Acklin,44,166
Laugh-In,Soundtrack,44,167
The Romantic World Of Eddy Arnold,Eddy Arnold,44,168
The Best Of Wilson Pickett,Wilson Pickett,44,169
Up Up And Away,Boston Pops Orchestra,44,170
"It Crawled Into My Hand, Honest",Fugs,44,171
The Last Waltz,Engelbert Humperdinck,44,172
The Best Of Al Martino,Al Martino,44,173
"Woman, Woman",Robert Goulet,44,174
Born Free,Andy Williams,44,175
A New Time-A New Day,The Chambers Brothers,44,176
Cowboys & Colored People,FLiP,44,177
Livin' It Up!,Jimmy Smith,44,178
Ogdens' Nut Gone Flake,Small Faces,44,179
Insight Out,The Association,44,180
In The Groove,Marvin Gaye,44,181
"Woman, Woman",Gary Puckett And The Union Gap,44,182
Sailor,The Steve Miller Band,44,183
Midnight Creeper,Lou Donaldson,44,184
The Clown Died In Marvin Gardens,B,44,185
My Way Of Life,Bert Kaempfert And His Orchestra,44,186
Soul Bag,Mongo Santamaria,44,187
Aladdin,Rotary Connection,44,188
The Best Of The Impressions,The Impressions,44,189
Apologize,Ed Ames,44,190
Archives,Archives,44,191
Rotary Connection,Rotary Connection,44,192
Incredible,Gary Puckett And The Union Gap,44,193
"1,2,3 Red Light",1910 Fruitgum Co.,44,194
A Time To Sing,Hank Williams Jr.,44,195
Angel Of The Morning,Merrilee Rush & The Turnabouts,44,196
The Look Of Love,Stanley Turrentine,44,197
You're Good For Me,Lou Rawls,44,198
Another Place Another Time,Jerry Lee Lewis,44,199
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,44,200
Cheap Thrills,Big Brother And The Holding Company,45,1
Electric Ladyland,The Jimi Hendrix Experience,45,2
Feliciano!,Jose Feliciano,45,3
Time Peace/The Rascals' Greatest Hits,The Rascals,45,4
The Time Has Come,The Chambers Brothers,45,5
Crown Of Creation,Jefferson Airplane,45,6
The Second,Steppenwolf,45,7
The Crazy World Of Arthur Brown,Arthur,45,8
Wheels Of Fire,Cream,45,9
Gentle On My Mind,Glen Campbell,45,10
Are You Experienced?,Jimi Hendrix,45,11
A Man Without Love,Engelbert Humperdinck,45,12
In-A-Gadda-Da-Vida,Iron Butterfly,45,13
Wild In The Streets,Soundtrack,45,14
Waiting For The Sun,The Doors,45,15
Truth,Jeff Beck,45,16
The Graduate,Soundtrack,45,17
Super Session,Mike Bloomfield,45,18
Harper Valley P.T.A.,Jeannie C. Riley,45,19
Late Again,"Peter, Paul & Mary",45,20
Boogie With Canned Heat,Canned Heat,45,21
Funny Girl,Barbra Streisand,45,22
Disraeli Gears,Cream,45,23
2001: A Space Odyssey,Soundtrack,45,24
Realization,Johnny Rivers,45,25
Idea,Bee Gees,45,26
Shades Of Deep Purple,Deep Purple,45,27
Bookends,Simon & Garfunkel,45,28
In Search Of The Lost Chord,The Moody Blues,45,29
Aretha Now,Aretha Franklin,45,30
"Parsley, Sage, Rosemary And Thyme",Simon & Garfunkel,45,31
Music From Big Pink,The Band,45,32
Steppenwolf,Steppenwolf,45,33
Stoned Soul Picnic,The 5th Dimension,45,34
Bobbie Gentry & Glen Campbell,Bobbie Gentry & Glen Campbell,45,35
Vanilla Fudge,Vanilla Fudge,45,36
Look Around,Sergio Mendes,45,37
Johnny Cash At Folsom Prison,Johnny Cash,45,38
A Happening In Central Park,Barbra Streisand,45,39
Donovan In Concert,Donovan,45,40
"Hey, Little One",Glen Campbell,45,41
Hair,Original Cast Recording,45,42
By The Time I Get To Phoenix,Glen Campbell,45,43
Sounds Of Silence,Simon & Garfunkel,45,44
Honey,Andy Williams,45,45
Beat Of The Brass,Herb Alpert & The Tijuana Brass,45,46
The Doors,The Doors,45,47
Diana Ross And The Supremes Greatest Hits,Diana Ross & The Supremes,45,48
Hickory Holler Revisited,O.C. Smith,45,49
The Hurdy Gurdy Man,Donovan,45,50
200 M.P.H.,Bill Cosby,45,51
Petula,Petula Clark,45,52
"Live At The Apollo, Volume II",James Brown,45,53
"Golden Era, Vol. 2",The Mamas & The Papas,45,54
Creedence Clearwater Revival: Collector's Edition,Creedence Clearwater Revival,45,55
Aretha: Lady Soul,Aretha Franklin,45,56
Frank Sinatra's Greatest Hits!,Frank Sinatra,45,57
Dean Martin's Greatest Hits! Vol. 1,Dean Martin,45,58
Sgt. Pepper's Lonely Hearts Club Band,The Beatles,45,59
"Turn Around, Look At Me",The Vogues,45,60
Last Time Around,The Buffalo Springfield,45,61
Bare Wires,John Mayall,45,62
A New Place In The Sun,Glen Campbell,45,63
Days Of Future Past,The Moody Blues With The London Festival Orchestra (Knight),45,64
The Sound Of Boots,Boots Randolph,45,65
Shine On Brightly,Procol Harum,45,66
Live At London's Talk Of The Town,The Supremes,45,67
Farewell To The First Golden Era,The Mamas & The Papas,45,68
Renaissance,Vanilla Fudge,45,69
Maiden Voyage,Ramsey Lewis,45,70
The Sound Of Music,Soundtrack,45,71
Special Occasion,Smokey Robinson & The Miracles,45,72
Young Girl,Gary Puckett And The Union Gap,45,73
Honey,Ray Conniff,45,74
The Electrifying Eddie Harris,Eddie Harris,45,75
"The Super Hits, Vol. 2",Various Artists,45,76
Fresh Cream,Cream,45,77
The Temptations Greatest Hits,The Temptations,45,78
Wildflowers,Judy Collins,45,79
Honey,Bobby Goldsboro,45,80
The Mason Williams Phonograph Record,Mason Williams,45,81
Axis: Bold As Love,The Jimi Hendrix Experience,45,82
A Tramp Shining,Richard Harris,45,83
Incredible,Gary Puckett And The Union Gap,45,84
Sailor,The Steve Miller Band,45,85
The Immortal Otis Redding,Otis Redding,45,86
Doctor Zhivago,Soundtrack,45,87
Magic Bus-The Who On Tour,The Who,45,88
Special Request,The Lettermen,45,89
You're All I Need,Tammi Terrell,45,90
"Dionne Warwick's Golden Hits, Part One",Dionne Warwick,45,91
Wish It Would Rain,The Temptations,45,92
Baptism,Joan Baez,45,93
The Sea,San Sebastian,45,94
Dream A Little Dream,Mama Cass,45,95
Angel Of The Morning (Hit Themes For Young Lovers),Percy Faith,45,96
Dean Martin's Greatest Hits! Vol. 2,Dean Martin,45,97
Outsideinside,Blue Cheer,45,98
"The Good, The Bad And The Ugly",Soundtrack,45,99
Pat Paulsen For President,Pat Paulsen,45,100
Magical Mystery Tour (Soundtrack),The Beatles,45,101
Strange Days,The Doors,45,102
Man Of La Mancha,Original Cast,45,103
Hello Dummy!,Don Rickles,45,104
"The Birds, The Bees & The Monkees",The Monkees,45,105
"To Russell, My Brother, Whom I Slept With",Bill Cosby,45,106
Camelot,Soundtrack,45,107
Quicksilver Messenger Service,Quicksilver Messenger Service,45,108
Alice's Restaurant,Soundtrack,45,109
A New Time-A New Day,The Chambers Brothers,45,110
The Papas & The Mamas,The Mamas & The Papas,45,111
A Day In The Life,Wes Montgomery,45,112
Spirit,Spirit,45,113
The Unicorn,The Irish Rovers,45,114
"Music From ""A Fistful Of Dollars"" & ""For A Few Dollars More"" & ""The Good, T","Hugo Montenegro, His Orchestra And Chorus",45,115
The Dock Of The Bay,Otis Redding,45,116
The Four Tops Greatest Hits,Four Tops,45,117
"Greatest Hits, Vol. 2",The Miracles,45,118
Finian's Rainbow,Soundtrack,45,119
Love Is Blue,Johnny Mathis,45,120
Heavy,Iron Butterfly,45,121
Something Happening,Paul Revere & The Raiders,45,122
Yesterday's Dreams,Four Tops,45,123
Valley Of The Dolls,Dionne Warwick,45,124
Release Me,Engelbert Humperdinck,45,125
The Tom Jones Fever Zone,Tom Jones,45,126
Soul Limbo,Booker T. & The MG's,45,127
Sergio Mendes & Brasil '66,Sergio Mendes,45,128
The Sound Of Nancy Wilson,Nancy Wilson,45,129
Arlo,Arlo Guthrie,45,130
"Up, Up And Away",The 5th Dimension,45,131
Captain Sad And His Ship Of Fools,The Cowsills,45,132
Who Will Answer? And Other Songs Of Our Time,Ed Ames,45,133
History Of Otis Redding,Otis Redding,45,134
In My Own Dream,The Paul Butterfield Blues Band,45,135
Interlude,Soundtrack,45,136
Word Pictures Featuring Autumn Of My Life,Bobby Goldsboro,45,137
Nazz,Nazz,45,138
This Guy's In Love With You,Jerry Vale,45,139
Star!,Soundtrack,45,140
Goin' Out Of My Head,The Lettermen,45,141
Prevailing Airs,Paul Mauriat,45,142
Wow,Moby Grape,45,143
Anthem Of The Sun,Grateful Dead,45,144
Turn Around Look At Me,Ray Conniff,45,145
Big Brother & The Holding Company,Big Brother And The Holding Company,45,146
The Best Of Lou Rawls,Lou Rawls,45,147
Reach Out,Burt Bacharach,45,148
There Is,The Dells,45,149
Down Here On The Ground,Wes Montgomery,45,150
Electric Mud,Muddy Waters,45,151
Funny Girl,The Supremes,45,152
Easy,Nancy Wilson,45,153
Girl Watcher,The O'Kaysions,45,154
Kiss Me Goodbye,Jim Nabors,45,155
All Hung Up,The Irish Rovers,45,156
Undead,Ten Years After,45,157
Walkin' In Love Land,Eddy Arnold,45,158
Mantovani...Memories,Mantovani,45,159
Nancy & Lee,Nancy Sinatra,45,160
John Wesley Harding,Bob Dylan,45,161
Journey To The Center Of The Mind,The Amboy Dukes,45,162
The Best Of Nancy Wilson,Nancy Wilson,45,163
Laugh-In,Soundtrack,45,164
Ascending,Orpheus,45,165
Whipped Cream & Other Delights,Herb Alpert's Tijuana Brass,45,166
The Romantic World Of Eddy Arnold,Eddy Arnold,45,167
The Best Of Al Martino,Al Martino,45,168
Up Up And Away,Boston Pops Orchestra,45,169
Bob Dylan's Greatest Hits,Bob Dylan,45,170
"It Crawled Into My Hand, Honest",Fugs,45,171
God Bless Tiny Tim,Tiny Tim,45,172
"Woman, Woman",Robert Goulet,45,173
In The Groove,Marvin Gaye,45,174
Born Free,Andy Williams,45,175
Aladdin,Rotary Connection,45,176
